Vila Fresca de Azeitão, 306.
Vila Nova, 147.
Vila Nova de Cerveira, 82.
Vila Nova de Famalicão, 63.
Vila Nova de Foz Côa, 171.
Vila Nova de Gaia, 109, 117.
Vila Nova de Milfontes, 387.
Vila Nova de Ourém - ver Ourém.
Vila Pouca de Aguiar, 40.
Vila Real, 38, 40, 43-48, 53, 79.
Vila Real de Santo António, 371.
Vilar Formoso, 173-174.
Vilarinho de Samardã, 44.
Vilar Turpim, 180.
Vila Ruiva, 361.
Vila Seca, 72.
Vilaverdinho, 28.
Vila Viçosa, 337, 339.
Vimeiro, 278.
Vimioso, 19, 21.
Vinhais, 37-38.
Viseu, 180, 182-183.
Vista Alegre, 124.
